START DATE,END DATE,EVENT,TYPE,,,,,
10/21/2019,10/22/2019,Orionids Meteor Shower,MS,,,,,
11/5/2019,11/6/2019,Taurids Meteor Shower,MS,,,,,
11/17/2019,11/18/2019,Leonids Meteor Shower,MS,,,,,
12/13/2019,12/14/2019,Geminids Meteor Shower,MS,,,,,
12/21/2019,12/22/2019,Ursids Meteor Shower,MS,,,,,
12/26/2019,12/26/2019,Annular Solar Eclipse,SE,,,,,
1/3/2020,1/4/2020,Quadrantids Meteor Shower,MS,,,,,
1/10/2020,1/10/2020,Penumbral Lunar Eclipse,LE,,,,,
3/20/2020,3/20/2020,March Equinox,E,,,,,
4/21/2020,4/22/2020,Lyrids Meteor Shower,MS,,,,,
5/4/2020,5/5/2020,Eta Aquarids Meteor Shower,MS,,,,,
6/5/2020,6/5/2020,Penumbral Lunar Eclipse,LE,,,,,
6/21/2020,6/21/2020,Annular Solar Eclipse,SE,,,,,
7/5/2020,7/5/2020,Penumbral Lunar Eclipse,LE,,,,,
7/28/2020,7/29/2020,Delta Aquarids Meteor Shower,MS,,,,,
8/11/2020,8/12/2020,Perseids Meteor Shower,MS,,,,,
9/22/2020,9/22/2020,September Equinox,E,,,,,
10/7/2020,10/7/2020,Draconids Meteor Shower,MS,,,,,
10/21/2020,10/22/2020,Orionids Meteor Shower,MS,,,,,
10/29/2020,10/30/2020,South Traurids Meteor Shower,MS,,,,,
11/11/2020,11/12/2020,Nothern Taurids Meteor Shower,MS,,,,,
11/16/2020,11/17/2020,Leonids Meteor Shower,MS,,,,,
11/30/2020,11/20/2020,Penumbral Lunar Eclipse,LE,,,,,
12/13/2020,12/14/2020,Geminids Meteor Shower,MS,,,,,
12/14/2020,12/14/2020,Total Solar Eclipse,SE,,,,,
12/21/2020,12/22/2020,Ursids Meteor Shower,MS,,,,,
1/2/2021,1/3/2021,Quadrantids Meteor Shower,MS,,,,,
3/20/2021,3/20/2021,March Equinox,E,,,,,
4/22/2021,4/23/2021,Lyrids Meteor Shower,MS,,,,,
5/6/2021,5/7/2021,Eta Aquarids Meteor Shower,MS,,,,,
5/26/2021,5/26/2021,Total Lunar Eclipse,LE,,,,,
6/10/2021,6/10/2021,Annular Solar Eclipse,SE,,,,,
7/28/2021,7/29/2021,Delta Aquarids Meteor Shower,MS,,,,,
8/12/2021,8/13/2021,Perseids Meteor Shower,MS,,,,,
9/22/2021,9/22/2021,September Equinox,E,,,,,
10/7/2021,10/7/2021,Draconids Meteor Shower,MS,,,,,
10/21/2021,10/22/2021,Orionids Meteor Shower,MS,,,,,
11/4/2021,11/5/2021,Taurids Meteor Shower,MS,,,,,
11/17/2021,11/18/2021,Leonids Meteor Shower,MS,,,,,
11/19/2021,11/19/2021,Partial Lunar Eclipse,LE,,,,,
12/4/2021,12/4/2021,Total Solar Eclipse,SE,,,,,
12/13/2021,12/14/2021,Geminids Meteor Shower,MS,,,,,
12/21/2021,12/22/2021,Ursids Meteor Shower,MS,,,,,
1/3/2022,1/4/2022,Quadrantids Meteor Shower,MS,,,,,
3/20/2022,3/20/2022,March Equinox,E,,,,,
4/22/2022,4/23/2022,Lyrids Meteor Shower,MS,,,,,
4/30/2022,4/30/2022,Partial Solar Eclipse,SE,,,,,
5/6/2022,5/7/2022,Eta Aquarids Meteor Shower,MS,,,,,
5/16/2022,5/16/2022,Total Lunar Eclipse,LE,,,,,
7/28/2022,7/29/2022,Delta Aquarids Meteor Shower,MS,,,,,
8/12/2022,8/13/2022,Perseids Meteor Shower,MS,,,,,
9/23/2022,9/23/2022,September Equinox,E,,,,,
10/7/2022,10/7/2022,Draconids Meteor Shower,MS,,,,,
10/21/2022,10/22/2022,Orionids Meteor Shower,MS,,,,,
10/25/2022,10/25/2022,Partial Solar Eclipse,SE,,,,,
11/4/2022,11/5/2022,Traurids Meteor Shower,MS,,,,,
11/8/2022,11/8/2022,Total Lunar Eclipse,LE,,,,,
11/17/2022,11/18/2022,Leonids Meteor Shower,MS,,,,,
12/13/2022,12/14/2022,Geminids Meteor Shower,MS,,,,,
12/21/2022,12/22/2022,Ursids Meteor Shower,MS,,,,,
